date,wc_doses
2021-02-19,875
2021-02-20,1597
2021-02-21,2423
2021-02-22,3419
2021-02-23,4797
2021-02-24,6463
2021-02-25,8145
2021-02-26,9742
2021-02-27,10995
2021-02-28,12236
2021-03-01,12718
2021-03-02,13493
2021-03-03,14512
2021-03-04,15836
2021-03-05,16645
2021-03-06,16645
2021-03-07,16645
2021-03-08,17167
2021-03-09,18897
2021-03-10,20415
2021-03-11,22101
2021-03-12,23806
2021-03-13,24027
2021-03-14,24027
2021-03-15,24429
2021-03-16,26449
2021-03-17,28402
2021-03-18,29348
2021-03-19,29835
2021-03-20,29835
2021-03-21,29835
2021-03-22,29835
2021-03-23,32130
2021-03-24,34933
2021-03-25,37492
2021-03-26,40083
2021-03-27,40083
2021-03-28,40083
2021-03-29,42301
2021-03-30,44716
2021-03-31,47395
2021-04-01,48872
2021-04-02,48872
2021-04-03,48872
2021-04-04,48872
2021-04-05,48872
2021-04-06,49585
2021-04-07,50864
2021-04-08,51358
2021-04-09,51663
2021-04-10,51663
2021-04-11,51663
2021-04-12,51734
2021-04-13,52168
2021-04-14,52168
2021-04-15,52168
2021-04-16,52168
2021-04-17,52168
2021-04-18,52168
2021-04-19,52168
2021-04-20,52168
2021-04-21,52168
2021-04-22,52168
2021-04-23,52168
2021-04-24,52168
2021-04-25,52168
2021-04-26,52168
2021-04-27,52168
2021-04-28,53285
2021-04-29,55075
2021-04-30,57433
2021-05-01,57592
2021-05-02,57592
2021-05-03,59637
2021-05-04,61787
2021-05-05,64267
2021-05-06,66835
2021-05-07,68222
2021-05-08,68222
2021-05-09,68222
2021-05-10,72020
2021-05-11,74777
2021-05-12,79018
2021-05-13,88609
2021-05-14,88609
2021-05-15,88609
2021-05-16,88609
2021-05-17,88609
2021-05-18,95648
2021-05-19,97481
2021-05-20,99799
2021-05-21,99799
2021-05-22,99799
2021-05-23,102394
2021-05-24,107201
2021-05-25,113790
2021-05-26,113790
2021-05-27,130332
2021-05-28,130332
2021-05-29,-
2021-05-30,-
2021-05-31,-
2021-06-01,-
2021-06-02,-
2021-06-03,-
2021-06-04,-
2021-06-05,-
2021-06-06,-
2021-06-07,-
2021-06-08,-
2021-06-09,-
2021-06-10,-
2021-06-11,-
2021-06-12,-
2021-06-13,-
2021-06-14,-
2021-06-15,-
2021-06-16,-
2021-06-17,-
2021-06-18,-
2021-06-19,-
2021-06-20,-
2021-06-21,-
2021-06-22,-
2021-06-23,-
2021-06-24,-
2021-06-25,-
2021-06-26,-
2021-06-27,-
2021-06-28,-
2021-06-29,-
2021-06-30,-
2021-07-01,-
2021-07-02,-
2021-07-03,-
2021-07-04,-
2021-07-05,-
2021-07-06,-
2021-07-07,-
2021-07-08,-
2021-07-09,-
2021-07-10,-
2021-07-11,-
2021-07-12,-
2021-07-13,-
2021-07-14,-
2021-07-15,-
2021-07-16,-
2021-07-17,-
2021-07-18,-
2021-07-19,-
2021-07-20,-
2021-07-21,-
2021-07-22,-
2021-07-23,-
2021-07-24,-
2021-07-25,-
2021-07-26,-
2021-07-27,-
2021-07-28,-
2021-07-29,-
2021-07-30,-
2021-07-31,-
2021-08-01,-
2021-08-02,-
2021-08-03,-
2021-08-04,-
2021-08-05,-
2021-08-06,-
2021-08-07,-
2021-08-08,-
2021-08-09,-
2021-08-10,-
2021-08-11,-
2021-08-12,-
2021-08-13,-
2021-08-14,-
2021-08-15,-
2021-08-16,-
2021-08-17,-
2021-08-18,-
2021-08-19,-
2021-08-20,-
2021-08-21,-
2021-08-22,-
2021-08-23,-
2021-08-24,-
2021-08-25,-
2021-08-26,-
2021-08-27,-
2021-08-28,-
2021-08-29,-
2021-08-30,-
2021-08-31,-
2021-09-01,-
2021-09-02,-
2021-09-03,-
2021-09-04,-
2021-09-05,-
2021-09-06,-
2021-09-07,-
2021-09-08,-
2021-09-09,-
2021-09-10,-
2021-09-11,-
2021-09-12,-
2021-09-13,-
2021-09-14,-
2021-09-15,-
2021-09-16,-
2021-09-17,-
2021-09-18,-
2021-09-19,-
2021-09-20,-
2021-09-21,-
2021-09-22,-
2021-09-23,-
2021-09-24,-
2021-09-25,-
2021-09-26,-
2021-09-27,-
2021-09-28,-
2021-09-29,-
2021-09-30,-
2021-10-01,-
2021-10-02,-
2021-10-03,-
2021-10-04,-
2021-10-05,-
2021-10-06,-
2021-10-07,-
2021-10-08,-
2021-10-09,-
2021-10-10,-
2021-10-11,-
2021-10-12,-
2021-10-13,-
2021-10-14,-
